fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
08. Apr;0.34;0.42;02. Jan;0.072;23;36;0.99392;03. Nov;0.78;12. Apr;6
07. Apr;0.49;0.27;02. Jan;0.071;14;25;0.99388;Mrz 35;0.63;12;6
06. Jan;0.48;0.09;01. Jul;0.078;18;30;0.99402;Mrz 45;0.54;11. Feb;6
07. Apr;0.49;0.27;02. Jan;0.071;14;25;0.99388;Mrz 35;0.63;12;6
8;0.48;0.34;02. Feb;0.073;16;25;0.9936;Mrz 28;0.66;12. Apr;6
06. Mrz;0.57;0.28;02. Jan;0.048;13;49;0.99374;Mrz 41;0.6;12. Aug;5
08. Feb;0.23;0.42;01. Sep;0.069;9;17;0.99376;Mrz 21;0.54;12. Mrz;6
09. Jan;0.3;0.41;2;0.068;10;24;0.99523;Mrz 27;0.85;11. Jul;7
08. Jan;0.78;0.1;03. Mrz;0.09;4;13;0.99855;Mrz 36;0.49;09. Mai;5
10. Aug;0.47;0.43;02. Jan;0.171;27;66;0.9982;Mrz 17;0.76;10. Aug;6
08. Mrz;0.53;0;01. Apr;0.07;6;14;0.99593;Mrz 25;0.64;10;6
05. Apr;0.42;0.27;2;0.092;23;55;0.99471;Mrz 78;0.64;12. Mrz;7
07. Sep;0.33;0.41;01. Mai;0.056;6;35;0.99396;Mrz 29;0.71;11;6
08. Sep;0.24;0.39;01. Jun;0.074;3;10;0.99698;03. Dez;0.59;09. Mai;6
5;0.4;0.5;04. Mrz;0.046;29;80;0.9902;Mrz 49;0.66;13. Jun;6
7;0.69;0.07;02. Mai;0.091;15;21;0.99572;Mrz 38;0.6;11. Mrz;6
7;0.69;0.07;02. Mai;0.091;15;21;0.99572;Mrz 38;0.6;11. Mrz;6
7;0.69;0.07;02. Mai;0.091;15;21;0.99572;Mrz 38;0.6;11. Mrz;6
07. Jan;0.39;0.12;02. Jan;0.065;14;24;0.99252;03. Mrz;0.53;13. Mrz;6
05. Jun;0.66;0;02. Mai;0.066;7;15;0.99256;Mrz 52;0.58;12. Sep;5
07. Sep;0.54;0.34;02. Mai;0.076;8;17;0.99235;03. Feb;0.72;13. Jan;8
06. Jun;0.5;0;01. Aug;0.062;21;28;0.99352;Mrz 44;0.55;12. Mrz;6
06. Mrz;0.47;0;01. Apr;0.055;27;33;0.9922;Mrz 45;0.48;12. Mrz;6
10. Jul;0.4;0.37;01. Sep;0.081;17;29;0.99674;03. Dez;0.65;11. Feb;6
06. Mai;0.58;0;02. Feb;0.096;3;13;0.99557;Mrz 62;0.62;11. Mai;4
08. Aug;0.24;0.35;01. Jul;0.055;13;27;0.99394;Mrz 14;0.59;11. Mrz;7
05. Aug;0.29;0.26;01. Jul;0.063;3;11;0.9915;Mrz 39;0.54;13. Mai;6
06. Mrz;0.76;0;02. Sep;0.072;26;52;0.99379;Mrz 51;0.6;11. Mai;6
10;0.43;0.33;02. Jul;0.095;28;89;0.9984;Mrz 22;0.68;10;5
10. Mai;0.43;0.35;03. Mrz;0.092;24;70;0.99798;Mrz 21;0.69;10. Mai;6
09. Jan;0.6;0;01. Sep;0.058;5;10;0.9977;Mrz 18;0.63;10. Apr;6
05. Sep;0.19;0.21;01. Jul;0.045;57;135;0.99341;Mrz 32;0.44;09. Mai;5
07. Apr;0.36;0.34;01. Aug;0.075;18;38;0.9933;Mrz 38;0.88;13. Jun;7
07. Feb;0.48;0.07;05. Mai;0.089;10;18;0.99684;Mrz 37;0.68;11. Feb;7
08. Mai;0.28;0.35;01. Jul;0.061;6;15;0.99524;03. Mrz;0.74;11. Aug;7
8;0.25;0.43;01. Jul;0.067;22;50;0.9946;Mrz 38;0.6;11. Sep;6
10. Apr;0.52;0.45;2;0.08;6;13;0.99774;Mrz 22;0.76;11. Apr;6
10. Apr;0.52;0.45;2;0.08;6;13;0.99774;Mrz 22;0.76;11. Apr;6
07. Mai;0.41;0.15;03. Jul;0.104;29;94;0.99786;Mrz 14;0.58;09. Jan;5
08. Feb;0.51;0.24;2;0.079;16;86;0.99764;Mrz 34;0.64;09. Mai;6
07. Mrz;0.4;0.3;01. Jul;0.08;33;79;0.9969;Mrz 41;0.65;09. Mai;6
08. Feb;0.38;0.32;02. Mai;0.08;24;71;0.99624;Mrz 27;0.85;11;6
06. Sep;0.45;0.11;02. Apr;0.043;6;12;0.99354;03. Mrz;0.65;11. Apr;6
7;0.22;0.3;01. Aug;0.065;16;20;0.99672;Mrz 61;0.82;10;6
07. Mrz;0.32;0.23;02. Mrz;0.066;35;70;0.99588;Mrz 43;0.62;10. Jan;5
08. Feb;0.2;0.43;02. Mai;0.076;31;51;0.99672;Mrz 53;0.81;10. Apr;6
07. Aug;0.5;0.12;01. Aug;0.178;6;21;0.996;Mrz 28;0.87;09. Aug;6
10;0.41;0.45;06. Feb;0.071;6;14;0.99702;Mrz 21;0.49;11. Aug;7
07. Aug;0.39;0.42;2;0.086;9;21;0.99526;Mrz 39;0.66;11. Jun;6
10;0.35;0.47;2;0.061;6;11;0.99585;Mrz 23;0.52;12;6
08. Feb;0.33;0.32;02. Aug;0.067;4;12;0.99473;03. Mrz;0.76;12. Aug;7
06. Jan;0.58;0.23;02. Mai;0.044;16;70;0.99352;Mrz 46;0.65;12. Mai;6
08. Mrz;0.6;0.25;02. Feb;0.118;9;38;0.99616;Mrz 15;0.53;09. Aug;5
09. Jun;0.42;0.35;02. Jan;0.083;17;38;0.99622;Mrz 23;0.66;11. Jan;6
06. Jun;0.58;0;02. Feb;0.1;50;63;0.99544;Mrz 59;0.68;11. Apr;6
08. Mrz;0.6;0.25;02. Feb;0.118;9;38;0.99616;Mrz 15;0.53;09. Aug;5
08. Mai;0.18;0.51;Jan 75;0.071;45;88;0.99524;Mrz 33;0.76;11. Aug;7
05. Jan;0.51;0.18;02. Jan;0.042;16;101;0.9924;Mrz 46;0.87;12. Sep;7
06. Jul;0.41;0.43;02. Aug;0.076;22;54;0.99572;Mrz 42;Jan 16;10. Jun;6
10. Feb;0.41;0.43;02. Feb;0.11;11;37;0.99728;Mrz 16;0.67;10. Aug;5
10. Jun;0.36;0.57;02. Mrz;0.087;6;20;0.99676;Mrz 14;0.72;11. Jan;7
08. Aug;0.45;0.43;01. Apr;0.076;12;21;0.99551;Mrz 21;0.75;10. Feb;6
08. Mai;0.32;0.42;02. Mrz;0.075;12;19;0.99434;Mrz 14;0.71;11. Aug;7
9;0.785;0.24;01. Jul;0.078;10;21;0.99692;Mrz 29;0.67;10;5
9;0.785;0.24;01. Jul;0.078;10;21;0.99692;Mrz 29;0.67;10;5
08. Mai;0.44;0.5;01. Sep;0.369;15;38;0.99634;03. Jan;01. Jan;09. Apr;5
09. Sep;0.54;0.26;2;0.111;7;60;0.99709;Feb 94;0.98;10. Feb;5
08. Feb;0.33;0.39;02. Mai;0.074;29;48;0.99528;Mrz 32;0.88;12. Apr;7
06. Mai;0.34;0.27;02. Aug;0.067;8;44;0.99384;Mrz 21;0.56;12;6
07. Jun;0.5;0.29;02. Mrz;0.086;5;14;0.99502;Mrz 32;0.62;11. Mai;6
09. Feb;0.36;0.34;01. Jun;0.062;5;12;0.99667;03. Feb;0.67;10. Mai;6
07. Jan;0.59;0;02. Feb;0.078;26;44;0.99522;Mrz 42;0.68;10. Aug;6
09. Jul;0.42;0.46;02. Jan;0.074;5;16;0.99649;Mrz 27;0.74;12. Mrz;6
07. Jun;0.36;0.31;01. Jul;0.079;26;65;0.99716;Mrz 46;0.62;09. Mai;6
07. Jun;0.36;0.31;01. Jul;0.079;26;65;0.99716;Mrz 46;0.62;09. Mai;6
06. Mai;0.61;0;02. Feb;0.095;48;59;0.99541;Mrz 61;0.7;11. Mai;6
06. Mai;0.88;0.03;05. Jun;0.079;23;47;0.99572;Mrz 58;0.5;11. Feb;4
07. Jan;0.66;0;02. Apr;0.052;6;11;0.99318;Mrz 35;0.66;12. Jul;7
05. Jun;0.915;0;02. Jan;0.041;17;78;0.99346;Mrz 68;0.73;11. Apr;5
08. Feb;0.35;0.33;02. Apr;0.076;11;47;0.99599;Mrz 27;0.81;11;6
08. Feb;0.35;0.33;02. Apr;0.076;11;47;0.99599;Mrz 27;0.81;11;6
09. Aug;0.39;0.43;Jan 65;0.068;5;11;0.99478;Mrz 19;0.46;11. Apr;5
10. Feb;0.4;0.4;02. Mai;0.068;41;54;0.99754;Mrz 38;0.86;10. Mai;6
06. Aug;0.66;0.07;01. Jun;0.07;16;61;0.99572;Mrz 29;0.6;09. Mrz;5
06. Jul;0.64;0.23;02. Jan;0.08;11;119;0.99538;Mrz 36;0.7;10. Sep;5
7;0.43;0.3;2;0.085;6;39;0.99346;Mrz 33;0.46;11. Sep;6
06. Jun;0.8;0.03;07. Aug;0.079;6;12;0.9963;Mrz 52;0.5;12. Feb;5
7;0.43;0.3;2;0.085;6;39;0.99346;Mrz 33;0.46;11. Sep;6
06. Jul;0.64;0.23;02. Jan;0.08;11;119;0.99538;Mrz 36;0.7;10. Sep;5
08. Aug;0.955;0.05;01. Aug;0.075;5;19;0.99616;03. Mrz;0.44;09. Jun;4
09. Jan;0.4;0.57;04. Jun;0.08;6;20;0.99652;Mrz 28;0.57;12. Mai;6
06. Mai;0.885;0;02. Mrz;0.166;6;12;0.99551;Mrz 56;0.51;10. Aug;5
07. Feb;0.25;0.37;02. Mai;0.063;11;41;0.99439;Mrz 52;0.8;12. Apr;7
06. Apr;0.885;0;02. Mrz;0.166;6;12;0.99551;Mrz 56;0.51;10. Aug;5
7;0.745;0.12;01. Aug;0.114;15;64;0.99588;Mrz 22;0.59;09. Mai;6
06. Feb;0.43;0.22;01. Aug;0.078;21;56;0.99633;Mrz 52;0.6;09. Mai;6
07. Sep;0.58;0.23;02. Mrz;0.076;23;94;0.99686;Mrz 21;0.58;09. Mai;6
07. Jul;0.57;0.21;01. Mai;0.069;4;9;0.99458;Mrz 16;0.54;09. Aug;6
07. Jul;0.26;0.26;2;0.052;19;77;0.9951;Mrz 15;0.79;10. Sep;6
07. Sep;0.58;0.23;02. Mrz;0.076;23;94;0.99686;Mrz 21;0.58;09. Mai;6
07. Jul;0.57;0.21;01. Mai;0.069;4;9;0.99458;Mrz 16;0.54;09. Aug;6
07. Sep;0.34;0.36;01. Sep;0.065;5;10;0.99419;Mrz 27;0.54;11. Feb;7
08. Jun;0.42;0.39;01. Aug;0.068;6;12;0.99516;Mrz 35;0.69;11. Jul;8
09. Sep;0.74;0.19;05. Aug;0.111;33;76;0.99878;Mrz 14;0.55;09. Apr;5
07. Feb;0.36;0.46;02. Jan;0.074;24;44;0.99534;03. Apr;0.85;11;7
07. Feb;0.36;0.46;02. Jan;0.074;24;44;0.99534;03. Apr;0.85;11;7
07. Feb;0.36;0.46;02. Jan;0.074;24;44;0.99534;03. Apr;0.85;11;7
09. Sep;0.72;0.55;01. Jul;0.136;24;52;0.99752;Mrz 35;0.94;10;5
07. Feb;0.36;0.46;02. Jan;0.074;24;44;0.99534;03. Apr;0.85;11;7
06. Feb;0.39;0.43;2;0.071;14;24;0.99428;Mrz 45;0.87;11. Feb;7
06. Aug;0.65;0.02;02. Jan;0.078;8;15;0.99498;Mrz 35;0.62;10. Apr;6
06. Jun;0.44;0.15;02. Jan;0.076;22;53;0.9957;Mrz 32;0.62;09. Mrz;5
06. Aug;0.65;0.02;02. Jan;0.078;8;15;0.99498;Mrz 35;0.62;10. Apr;6
09. Jun;0.38;0.42;01. Sep;0.071;5;13;0.99659;Mrz 15;0.75;10. Mai;6
10. Feb;0.33;0.46;01. Sep;0.081;6;9;0.99628;03. Jan;0.48;10. Apr;6
08. Aug;0.27;0.46;02. Jan;0.095;20;29;0.99488;Mrz 26;0.56;11. Mrz;6
07. Sep;0.57;0.31;2;0.079;10;79;0.99677;Mrz 29;0.69;09. Mai;6
08. Feb;0.34;0.37;01. Sep;0.057;43;74;0.99408;Mrz 23;0.81;12;6
08. Feb;0.4;0.31;01. Sep;0.082;8;24;0.996;Mrz 24;0.69;10. Jun;6
9;0.39;0.4;01. Mrz;0.044;25;50;0.99478;03. Feb;0.83;10. Sep;6
10. Sep;0.32;0.52;01. Aug;0.132;17;44;0.99734;Mrz 28;0.77;11. Mai;6
10. Sep;0.32;0.52;01. Aug;0.132;17;44;0.99734;Mrz 28;0.77;11. Mai;6
08. Jan;0.53;0.22;02. Feb;0.078;33;89;0.99678;Mrz 26;0.46;09. Jun;6
10. Mai;0.36;0.47;02. Feb;0.074;9;23;0.99638;Mrz 23;0.76;12;6
12. Jun;0.39;0.49;02. Mai;0.08;8;20;0.9992;03. Jul;0.82;10. Mrz;6
09. Feb;0.46;0.23;02. Jun;0.091;18;77;0.99922;Mrz 15;0.51;09. Apr;5
07. Mai;0.58;0.03;04. Jan;0.08;27;46;0.99592;03. Feb;0.47;09. Feb;5
9;0.58;0.25;2;0.104;8;21;0.99769;Mrz 27;0.72;09. Jun;5
05. Jan;0.42;0;01. Aug;0.044;18;88;0.99157;Mrz 68;0.73;13. Jun;7
07. Jun;0.43;0.29;02. Jan;0.075;19;66;0.99718;03. Apr;0.64;09. Mai;5
07. Jul;0.18;0.34;02. Jul;0.066;15;58;0.9947;Mrz 37;0.78;11. Aug;6
07. Aug;0.815;0.01;02. Jun;0.074;48;90;0.99621;Mrz 38;0.62;10. Aug;5
07. Jun;0.43;0.29;02. Jan;0.075;19;66;0.99718;03. Apr;0.64;09. Mai;5
10. Feb;0.23;0.37;02. Feb;0.057;14;36;0.99614;Mrz 23;0.49;09. Mrz;4
07. Jan;0.75;0.01;02. Feb;0.059;11;18;0.99242;Mrz 39;0.4;12. Aug;6
6;0.33;0.32;12. Sep;0.054;6;113;0.99572;03. Mrz;0.56;11. Mai;4
07. Aug;0.55;0;01. Jul;0.07;7;17;0.99659;Mrz 26;0.64;09. Apr;6
07. Jan;0.75;0.01;02. Feb;0.059;11;18;0.99242;Mrz 39;0.4;12. Aug;6
08. Jan;0.73;0;02. Mai;0.081;12;24;0.99798;Mrz 38;0.46;09. Jun;4
06. Mai;0.67;0;04. Mrz;0.057;11;20;0.99488;Mrz 45;0.56;11. Aug;4
07. Mai;0.61;0.2;01. Jul;0.076;36;60;0.99494;03. Jan;0.4;09. Mrz;5
09. Aug;0.37;0.39;02. Mai;0.079;28;65;0.99729;Mrz 16;0.59;09. Aug;5
9;0.4;0.41;2;0.058;15;40;0.99414;Mrz 22;0.6;12. Feb;6
08. Mrz;0.56;0.22;02. Apr;0.082;10;86;0.9983;Mrz 37;0.62;09. Mai;5
05. Sep;0.29;0.25;13. Apr;0.067;72;160;0.99721;Mrz 33;0.54;10. Mrz;6
07. Apr;0.55;0.19;01. Aug;0.082;15;34;0.99655;Mrz 49;0.68;10. Mai;5
07. Apr;0.74;0.07;01. Jul;0.086;15;48;0.99502;03. Dez;0.48;10;5
07. Apr;0.55;0.19;01. Aug;0.082;15;34;0.99655;Mrz 49;0.68;10. Mai;5
06. Sep;0.41;0.33;02. Feb;0.081;22;36;0.9949;Mrz 41;0.75;11. Jan;6
07. Jan;0.6;0.01;02. Mrz;0.079;24;37;0.99514;03. Apr;0.61;10. Sep;6
07. Jan;0.6;0.01;02. Mrz;0.079;24;37;0.99514;03. Apr;0.61;10. Sep;6
07. Mai;0.58;0.14;02. Feb;0.077;27;60;0.9963;Mrz 28;0.59;09. Aug;5
07. Jan;0.72;0;01. Aug;0.123;6;14;0.99627;Mrz 45;0.58;09. Aug;5
07. Sep;0.66;0;01. Apr;0.096;6;13;0.99569;Mrz 43;0.58;09. Mai;5
07. Aug;0.7;0.06;01. Sep;0.079;20;35;0.99628;03. Apr;0.69;10. Sep;5
06. Jan;0.64;0.02;02. Apr;0.069;26;46;0.99358;Mrz 47;0.45;11;5
07. Mai;0.59;0.22;01. Aug;0.082;43;60;0.99499;03. Jan;0.42;09. Feb;5
7;0.58;0.28;04. Aug;0.085;12;69;0.99633;Mrz 32;0.7;11;6
06. Aug;0.64;0;02. Jul;0.123;15;33;0.99538;Mrz 44;0.63;11. Mrz;6
06. Aug;0.64;0;02. Jul;0.123;15;33;0.99538;Mrz 44;0.63;11. Mrz;6
08. Jun;0.635;0.68;01. Aug;0.403;19;56;0.99632;03. Feb;Jan 15;09. Mrz;5
06. Mrz;01. Feb;0;2;0.083;17;24;0.99437;Mrz 59;0.55;11. Feb;4
09. Aug;0.45;0.38;02. Mai;0.081;34;66;0.99726;Mrz 15;0.58;09. Aug;5
08. Feb;0.78;0;02. Feb;0.089;13;26;0.9978;Mrz 37;0.46;09. Jun;4
08. Mai;0.37;0.32;01. Aug;0.066;26;51;0.99456;Mrz 38;0.72;11. Aug;6
07. Feb;0.57;0.05;02. Mrz;0.081;16;36;0.99564;Mrz 38;0.6;10. Mrz;6
07. Feb;0.57;0.05;02. Mrz;0.081;16;36;0.99564;Mrz 38;0.6;10. Mrz;6
10. Apr;0.43;0.5;02. Mrz;0.068;13;19;0.996;03. Jan;0.87;11. Apr;6
06. Sep;0.41;0.31;2;0.079;21;51;0.99668;Mrz 47;0.55;09. Mai;6
05. Mai;0.49;0.03;01. Aug;0.044;28;87;0.9908;03. Mai;0.82;14;8
5;0.38;0.01;01. Jun;0.048;26;60;0.99084;03. Jul;0.75;14;6
07. Mrz;0.44;0.2;01. Jun;0.049;24;64;0.9935;Mrz 38;0.57;11. Jul;6
05. Sep;0.46;0;01. Sep;0.077;25;44;0.99385;03. Mai;0.53;11. Feb;5
07. Mai;0.58;0.2;2;0.073;34;44;0.99494;03. Jan;0.43;09. Mrz;5
07. Aug;0.58;0.13;02. Jan;0.102;17;36;0.9944;Mrz 24;0.53;11. Feb;6
8;0.715;0.22;02. Mrz;0.075;13;81;0.99688;Mrz 24;0.54;09. Mai;6
08. Mai;0.4;0.4;06. Mrz;0.05;3;10;0.99566;Mrz 28;0.56;12;4
7;0.69;0;01. Sep;0.114;3;10;0.99636;Mrz 35;0.6;09. Jul;6
8;0.715;0.22;02. Mrz;0.075;13;81;0.99688;Mrz 24;0.54;09. Mai;6
09. Aug;0.3;0.39;01. Jul;0.062;3;9;0.9948;Mrz 14;0.57;11. Mai;7
07. Jan;0.46;0.2;01. Sep;0.077;28;54;0.9956;Mrz 37;0.64;10. Apr;6
07. Jan;0.46;0.2;01. Sep;0.077;28;54;0.9956;Mrz 37;0.64;10. Apr;6
07. Sep;0.765;0;2;0.084;9;22;0.99619;Mrz 33;0.68;10. Sep;6
08. Jul;0.63;0.28;02. Jul;0.096;17;69;0.99734;Mrz 26;0.63;10. Feb;6
7;0.42;0.19;02. Mrz;0.071;18;36;0.99476;Mrz 39;0.56;10. Sep;5
11. Mrz;0.37;0.5;01. Aug;0.09;20;47;0.99734;Mrz 15;0.57;10. Mai;5
07. Jan;0.16;0.44;02. Mai;0.068;17;31;0.99328;Mrz 35;0.54;12. Apr;6
8;0.6;0.08;02. Jun;0.056;3;7;0.99286;Mrz 22;0.37;13;5
7;0.6;0.3;04. Mai;0.068;20;110;0.99914;03. Mrz;Jan 17;10. Feb;5
7;0.6;0.3;04. Mai;0.068;20;110;0.99914;03. Mrz;Jan 17;10. Feb;5
07. Jun;0.74;0;01. Sep;0.1;6;12;0.99521;Mrz 36;0.59;11;5
08. Feb;0.635;0.1;02. Jan;0.073;25;60;0.99638;Mrz 29;0.75;10. Sep;6
05. Sep;0.395;0.13;02. Apr;0.056;14;28;0.99362;Mrz 62;0.67;12. Apr;6
07. Mai;0.755;0;01. Sep;0.084;6;12;0.99672;Mrz 34;0.49;09. Jul;4
08. Feb;0.635;0.1;02. Jan;0.073;25;60;0.99638;Mrz 29;0.75;10. Sep;6
06. Jun;0.63;0;04. Mrz;0.093;51;77.5;0.99558;03. Feb;0.45;09. Mai;5
06. Jun;0.63;0;04. Mrz;0.093;51;77.5;0.99558;03. Feb;0.45;09. Mai;5
07. Feb;0.53;0.14;02. Jan;0.064;15;29;0.99323;Mrz 35;0.61;12. Jan;6
05. Jul;0.6;0;01. Apr;0.063;11;18;0.99191;Mrz 45;0.56;12. Feb;6
07. Jun;Jan 58;0;02. Jan;0.137;5;9;0.99476;03. Mai;0.4;10. Sep;3
05. Feb;0.645;0;Feb 15;0.08;15;28;0.99444;Mrz 78;0.61;12. Mai;6
06. Jul;0.86;0.07;2;0.1;20;57;0.99598;03. Jun;0.74;11. Jul;6
09. Jan;0.37;0.32;02. Jan;0.064;4;15;0.99576;03. Mrz;0.8;11. Feb;6
8;0.28;0.44;01. Aug;0.081;28;68;0.99501;Mrz 36;0.66;11. Feb;5
07. Jun;0.79;0.21;02. Mrz;0.087;21;68;0.9955;03. Dez;0.44;09. Feb;5
07. Mai;0.61;0.26;01. Sep;0.073;24;88;0.99612;03. Mrz;0.53;09. Aug;5
09. Jul;0.69;0.32;02. Mai;0.088;22;91;0.9979;Mrz 29;0.62;10. Jan;5
06. Aug;0.68;0.09;03. Sep;0.068;15;29;0.99524;Mrz 41;0.52;11. Jan;4
09. Jul;0.69;0.32;02. Mai;0.088;22;91;0.9979;Mrz 29;0.62;10. Jan;5
7;0.62;0.1;01. Apr;0.071;27;63;0.996;Mrz 28;0.61;09. Feb;5
07. Mai;0.61;0.26;01. Sep;0.073;24;88;0.99612;03. Mrz;0.53;09. Aug;5
06. Mai;0.51;0.15;3;0.064;12;27;0.9929;Mrz 33;0.59;12. Aug;6
8;Jan 18;0.21;01. Sep;0.083;14;41;0.99532;Mrz 34;0.47;10. Mai;5
7;0.36;0.21;02. Mrz;0.086;20;65;0.99558;03. Apr;0.54;10. Jan;6
7;0.36;0.21;02. Apr;0.086;24;69;0.99556;03. Apr;0.53;10. Jan;6
07. Mai;0.63;0.27;2;0.083;17;91;0.99616;Mrz 26;0.58;09. Aug;6
05. Apr;0.74;0;01. Feb;0.041;16;46;0.99258;04. Jan;0.59;12. Mai;6
09. Sep;0.44;0.46;02. Feb;0.091;10;41;0.99638;Mrz 18;0.69;11. Sep;6
07. Mai;0.63;0.27;2;0.083;17;91;0.99616;Mrz 26;0.58;09. Aug;6
09. Jan;0.76;0.68;01. Jul;0.414;18;64;0.99652;02. Sep;Jan 33;09. Jan;6
09. Jul;0.66;0.34;02. Jun;0.094;12;88;0.99796;Mrz 26;0.66;10. Jan;5
5;0.74;0;01. Feb;0.041;16;46;0.99258;04. Jan;0.59;12. Mai;6
09. Jan;0.34;0.42;01. Aug;0.058;9;18;0.99392;Mrz 18;0.55;11. Apr;5
09. Jan;0.36;0.39;01. Aug;0.06;21;55;0.99495;Mrz 18;0.82;11;7
06. Jul;0.46;0.24;01. Jul;0.077;18;34;0.9948;Mrz 39;0.6;10. Jun;6
06. Jul;0.46;0.24;01. Jul;0.077;18;34;0.9948;Mrz 39;0.6;10. Jun;6
06. Jul;0.46;0.24;01. Jul;0.077;18;34;0.9948;Mrz 39;0.6;10. Jun;6
06. Jul;0.46;0.24;01. Jul;0.077;18;34;0.9948;Mrz 39;0.6;10. Jun;6
06. Mai;0.52;0.11;01. Aug;0.073;13;38;0.9955;Mrz 34;0.52;09. Mrz;5
07. Apr;0.6;0.26;02. Jan;0.083;17;91;0.99616;Mrz 29;0.56;09. Aug;6
07. Apr;0.6;0.26;02. Jan;0.083;17;91;0.99616;Mrz 29;0.56;09. Aug;6
07. Aug;0.87;0.26;03. Aug;0.107;31;67;0.99668;Mrz 26;0.46;09. Feb;5
08. Apr;0.39;0.1;01. Jul;0.075;6;25;0.99581;03. Sep;0.43;09. Jul;6
09. Jan;0.775;0.22;02. Feb;0.079;12;48;0.9976;Mrz 18;0.51;09. Jun;5
07. Feb;0.835;0;2;0.166;4;11;0.99608;Mrz 39;0.52;10;5
06. Jun;0.58;0.02;02. Apr;0.069;19;40;0.99387;Mrz 38;0.66;12. Jun;6
6;0.5;0;01. Apr;0.057;15;26;0.99448;Mrz 36;0.45;09. Mai;5
6;0.5;0;01. Apr;0.057;15;26;0.99448;Mrz 36;0.45;09. Mai;5
6;0.5;0;01. Apr;0.057;15;26;0.99448;Mrz 36;0.45;09. Mai;5
07. Mai;0.51;0.02;01. Jul;0.084;13;31;0.99538;Mrz 36;0.54;10. Mai;6
07. Mai;0.51;0.02;01. Jul;0.084;13;31;0.99538;Mrz 36;0.54;10. Mai;6
07. Mai;0.51;0.02;01. Jul;0.084;13;31;0.99538;Mrz 36;0.54;10. Mai;6
07. Jun;0.54;0.02;01. Jul;0.085;17;31;0.99589;Mrz 37;0.51;10. Apr;6
07. Mai;0.51;0.02;01. Jul;0.084;13;31;0.99538;Mrz 36;0.54;10. Mai;6
11. Mai;0.42;0.48;02. Jun;0.077;8;20;0.99852;03. Sep;0.53;11;5
08. Feb;0.44;0.24;02. Mrz;0.063;10;28;0.99613;Mrz 25;0.53;10. Feb;6
06. Jan;0.59;0.01;02. Jan;0.056;5;13;0.99472;Mrz 52;0.56;11. Apr;5
07. Feb;0.655;0.03;01. Aug;0.078;7;12;0.99587;Mrz 34;0.39;09. Mai;5
07. Feb;0.655;0.03;01. Aug;0.078;7;12;0.99587;Mrz 34;0.39;09. Mai;5
06. Sep;0.57;0;02. Aug;0.081;21;41;0.99518;Mrz 41;0.52;10. Aug;5
9;0.6;0.29;2;0.069;32;73;0.99654;Mrz 34;0.57;10;5
07. Feb;0.62;0.01;02. Mrz;0.065;8;46;0.99332;Mrz 32;0.51;11. Aug;6
07. Jun;0.645;0.03;01. Sep;0.086;14;57;0.9969;Mrz 37;0.46;10. Mrz;5
07. Jun;0.645;0.03;01. Sep;0.086;14;57;0.9969;Mrz 37;0.46;10. Mrz;5
07. Feb;0.58;0.03;02. Mrz;0.077;7;28;0.99568;Mrz 35;0.52;10;5
06. Jan;0.32;0.25;01. Aug;0.086;5;32;0.99464;Mrz 36;0.44;10. Jan;5
06. Jan;0.34;0.25;01. Aug;0.084;4;28;0.99464;Mrz 36;0.44;10. Jan;5
07. Mrz;0.43;0.24;02. Mai;0.078;27;67;0.99648;03. Jun;0.59;11. Jan;6
07. Apr;0.64;0.17;05. Apr;0.168;52;98;0.99736;Mrz 28;0.5;09. Mai;5
11. Jun;0.475;0.4;01. Apr;0.091;6;28;0.99704;03. Jul;0.65;100.333.333.333.333;6
09. Feb;0.54;0.31;02. Mrz;0.112;11;38;0.99699;Mrz 24;0.56;10. Sep;5
08. Mrz;0.85;0.14;02. Mai;0.093;13;54;0.99724;Mrz 36;0.54;10. Jan;5
11. Jun;0.475;0.4;01. Apr;0.091;6;28;0.99704;03. Jul;0.65;100.333.333.333.333;6
8;0.83;0.27;2;0.08;11;63;0.99652;Mrz 29;0.48;09. Aug;4
07. Feb;0.605;0.02;01. Sep;0.096;10;31;0.995;Mrz 46;0.53;11. Aug;6
07. Aug;0.5;0.09;02. Feb;0.115;10;42;0.9971;Mrz 18;0.62;09. Mai;5
07. Mrz;0.74;0.08;01. Jul;0.094;10;45;0.99576;Mrz 24;0.5;09. Aug;5
06. Sep;0.54;0.3;02. Feb;0.088;9;105;0.99725;Mrz 25;Jan 18;10. Mai;6
8;0.77;0.32;02. Jan;0.079;16;74;0.99656;Mrz 27;0.5;09. Aug;6
06. Jun;0.61;0;01. Jun;0.069;4;8;0.99396;Mrz 33;0.37;10. Apr;4
08. Jul;0.78;0.51;01. Jul;0.415;12;66;0.99623;3;Jan 17;09. Feb;5
07. Mai;0.58;0.56;03. Jan;0.153;5;14;0.99476;Mrz 21;01. Mrz;11. Jun;6
08. Jul;0.78;0.51;01. Jul;0.415;12;66;0.99623;3;Jan 17;09. Feb;5
07. Jul;0.75;0.27;03. Aug;0.11;34;89;0.99664;Mrz 24;0.45;09. Mrz;5
06. Aug;0.815;0;01. Feb;0.267;16;29;0.99471;Mrz 32;0.51;09. Aug;3
07. Feb;0.56;0.26;2;0.083;13;100;0.99586;Mrz 26;0.52;09. Sep;5
